TimeID,Date,Day,Month,Quarter,Year,IsWeekend
171,2019-06-20,20,6,2,2019,FALSE
172,2019-06-21,21,6,2,2019,FALSE
173,2019-06-22,22,6,2,2019,TRUE
174,2019-06-23,23,6,2,2019,TRUE
175,2019-06-24,24,6,2,2019,FALSE
176,2019-06-25,25,6,2,2019,FALSE
177,2019-06-26,26,6,2,2019,FALSE
178,2019-06-27,27,6,2,2019,FALSE
179,2019-06-28,28,6,2,2019,FALSE
180,2019-06-29,29,6,2,2019,TRUE
181,2019-06-30,30,6,2,2019,TRUE
182,2019-07-01,1,7,3,2019,FALSE
183,2019-07-02,2,7,3,2019,FALSE
184,2019-07-03,3,7,3,2019,FALSE
185,2019-07-04,4,7,3,2019,FALSE
186,2019-07-05,5,7,3,2019,FALSE
187,2019-07-06,6,7,3,2019,TRUE
188,2019-07-07,7,7,3,2019,TRUE
189,2019-07-08,8,7,3,2019,FALSE
190,2019-07-09,9,7,3,2019,FALSE
191,2019-07-10,10,7,3,2019,FALSE
192,2019-07-11,11,7,3,2019,FALSE
193,2019-07-12,12,7,3,2019,FALSE
194,2019-07-13,13,7,3,2019,TRUE
195,2019-07-14,14,7,3,2019,TRUE
196,2019-07-15,15,7,3,2019,FALSE
197,2019-07-16,16,7,3,2019,FALSE
198,2019-07-17,17,7,3,2019,FALSE
199,2019-07-18,18,7,3,2019,FALSE
200,2019-07-19,19,7,3,2019,FALSE
201,2019-07-20,20,7,3,2019,TRUE
202,2019-07-21,21,7,3,2019,TRUE
203,2019-07-22,22,7,3,2019,FALSE
204,2019-07-23,23,7,3,2019,FALSE
205,2019-07-24,24,7,3,2019,FALSE
206,2019-07-25,25,7,3,2019,FALSE
207,2019-07-26,26,7,3,2019,FALSE
208,2019-07-27,27,7,3,2019,TRUE
209,2019-07-28,28,7,3,2019,TRUE
210,2019-07-29,29,7,3,2019,FALSE
211,2019-07-30,30,7,3,2019,FALSE
212,2019-07-31,31,7,3,2019,FALSE
213,2019-08-01,1,8,3,2019,FALSE
214,2019-08-02,2,8,3,2019,FALSE
215,2019-08-03,3,8,3,2019,TRUE
216,2019-08-04,4,8,3,2019,TRUE
217,2019-08-05,5,8,3,2019,FALSE
218,2019-08-06,6,8,3,2019,FALSE
219,2019-08-07,7,8,3,2019,FALSE
220,2019-08-08,8,8,3,2019,FALSE
221,2019-08-09,9,8,3,2019,FALSE
222,2019-08-10,10,8,3,2019,TRUE
